upazila,district,latitude,longitude,network_type,signal_strength,accuracy,created_at
Kawkhali,Pirojpur,22.6261283,90.0592775,Wi-Fi,Moderate,2,5/12/2025 0:01
Mathbaria,Pirojpur,22.2875917,89.9592718,Wi-Fi,Moderate,6,5/12/2025 0:03
Nazirpur,Pirojpur,22.729367,89.9608795,4G,Moderate,0,5/12/2025 0:09
Nesarabad,Pirojpur,22.7472,90.1036,4G,Low,4,5/12/2025 0:09
Pirojpur Sadar,Pirojpur,22.5778,89.99,Wi-Fi,Moderate,1,5/12/2025 0:14
Zianagar,Pirojpur,22.4858,89.9603,4G,Low,1,5/12/2025 0:17
Akhaura,Brahmanbaria,23.8833,91.2166,4G,Good,0,5/12/2025 0:28
Ashuganj,Brahmanbaria,24.0366,91.005,4G,Good,1,5/12/2025 0:30
Brahmanbaria Sadar,Brahmanbaria,23.9528,91.1167,Wi-Fi,Moderate,9,5/12/2025 0:33
Bancharampur,Brahmanbaria,23.7778,90.8083,4G,Low,7,5/12/2025 0:37
Bijoynagar,Brahmanbaria,24.0211,91.2797,Wi-Fi,Low,10,5/12/2025 0:38
Kasba,Brahmanbaria,23.7333,91.1667,4G,Good,9,5/12/2025 0:45
Nabinagar,Brahmanbaria,23.8833,90.9833,Wi-Fi,Low,3,5/12/2025 0:46
Nasirnagar,Brahmanbaria,24.1065,91.195,4G,Low,5,5/12/2025 0:48
Sarail,Brahmanbaria,24.09247222,91.11977778,4G,Good,4,5/12/2025 0:52
Alikadam,Bandarban,21.6667,92.3056,4G,Moderate,0,5/12/2025 0:54
Bandarban Sadar,Bandarban,22.2333,92.1917,4G,Moderate,5,5/12/2025 0:55
Lama,Bandarban,21.775,92.2,4G,Good,6,5/12/2025 0:56
Naikhongchhari,Bandarban,21.4167,92.1833,4G,Moderate,10,5/12/2025 1:00
Rowangchari,Bandarban,22.1667,92.3333,4G,Low,1,5/12/2025 1:07
Ruma,Bandarban,22.05,92.4167,4G,Low,1,5/12/2025 1:10
Thanchi,Bandarban,21.7861,92.4278,4G,Moderate,8,5/12/2025 1:11
Chandpur Sadar,Chandpur,23.2139,90.6361,4G,Moderate,1,5/12/2025 1:18
Faridganj,Chandpur,23.125,90.7486,4G,Good,3,5/12/2025 1:24
Haimchar,Chandpur,23.0667,90.6375,4G,Low,2,5/12/2025 1:26
Hajiganj,Chandpur,23.25,90.85,4G,Low,5,5/12/2025 1:38
Kachua,Chandpur,23.35,90.8917,4G,Moderate,3,5/12/2025 1:39
Matlab (Dakshin),Chandpur,23.35,90.7083,4G,Moderate,0,5/12/2025 1:57
